baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL001357 241.075389942592 -1.59350682740959 0.251969525384911 -6.32420458376992 2.54540307420603e-10 1.68708920026637e-09 2.35805343898469e-11 -1.547645176069
AAEL001363 124.315374272154 -1.07355922189558 0.29396185843158 -3.65203576961824 0.000260169634762442 0.000737157590828215 1.889238963357e-05 -1.01387563689736
AAEL001399 196.211354335648 -1.2948659338455 0.235083259723284 -5.50811629619941 3.62693778079229e-08 1.88648175552582e-07 2.21462247640175e-09 -1.25538421784816
AAEL001423 374.909710001008 -1.49396253384214 0.302998305374228 -4.93059699458376 8.1978700106012e-07 3.49867623584364e-06 7.95925234578625e-08 -1.42726241955161
AAEL001425 140.097686693589 -1.07964909196766 0.265110010954795 -4.07245689470305 4.65198114357889e-05 0.000151392308917397 3.07299674390352e-06 -1.03087176069124
AAEL001455 353.377909458208 -1.41361723706929 0.182079358670043 -7.76374239998827 8.24592962794953e-15 8.74171065442571e-14 4.44323382904679e-16 -1.38952817733064
AAEL001458 19.7101951765585 -3.75567938665231 1.04473645107839 -3.59485818914009 0.000324568320544751 0.000905015660439778 0.000186315083526271 -3.1791073883392
AAEL001495 1466.85196327912 -2.28108164467755 0.177998025435827 -12.8152075793668 1.34777200486628e-37 7.69777723544921e-36 1.73025986164668e-38 -2.26037203565894
AAEL001503 840.543473975862 -1.24340425269699 0.247210110181124 -5.02974676798607 4.91128044537709e-07 2.17052775551523e-06 3.39530365729042e-08 -1.1993840491749
AAEL001506 542.511080738168 -1.64942631814389 0.239264884851976 -6.8937249992381 5.4350045136283e-12 4.37475717324214e-11 3.73199492545995e-13 -1.60825069848071
AAEL001519 122.945703946351 -1.36726862003789 0.305980560034648 -4.46848198422497 7.87766459053102e-06 2.89072135368739e-05 7.1363479683575e-07 -1.29971034713577
AAEL001520 209.245404276703 -1.40152008171733 0.204718993110001 -6.84606767758109 7.59075790005388e-12 6.04879019045015e-11 4.13092509814842e-13 -1.37099798649471
AAEL001543 125.792754834377 -2.03217826221265 0.378075839232664 -5.37505455608357 7.65594974980829e-08 3.79680399515835e-07 1.13739597424762e-08 -1.93392676416069
AAEL001551 116.008940560594 -1.24576628938232 0.305447763734236 -4.07849209354904 4.53287436037416e-05 0.000147743100907049 3.77423159329794e-06 -1.17898552335481
AAEL001559 121.318150363087 -2.97720936333942 0.415092091504256 -7.17240685687431 7.3690551217269e-13 6.4727307570312e-12 1.38968534670183e-13 -2.87905807731752
AAEL001601 212.353590389358 -1.16307417551779 0.303348598342068 -3.83411751982538 0.000126015886963953 0.000378237777895075 9.11449237482223e-06 -1.09815296604797
AAEL001610 104.525926553315 -1.27663987821865 0.287672574790212 -4.43782268486889 9.08734290749596e-06 3.30617532114536e-05 7.55871057075042e-07 -1.21718012119979
AAEL001623 1616.38009012886 -1.18844089944913 0.170228622899872 -6.98143989655707 2.921698993847e-12 2.41693145457738e-11 1.30001088180492e-13 -1.16717014137224
AAEL001624 100.808473316212 -2.29956854085274 0.411029942097024 -5.59464969661486 2.2106765924718e-08 1.18282592937409e-07 3.6504233899871e-09 -2.18863839629952
AAEL001635 131.305474543876 -2.10095310464451 0.331775705507927 -6.33245011544197 2.4129831512496e-10 1.60360925205046e-09 3.3711588851602e-11 -2.02639279880404
AAEL001642 337.23410356225 -1.12001669933397 0.186371393226822 -6.00959557119834 1.85986699116256e-09 1.12468248599329e-08 9.13414123809218e-11 -1.09546217619123
AAEL001655 411.92479072307 -1.04355388371107 0.186091288671947 -5.60775247008318 2.04970888185845e-08 1.10163777229826e-07 9.27601352188374e-10 -1.0195390291901
AAEL001666 262.994738154946 -3.30720742860166 0.433151646391249 -7.63521841866529 2.25437905681343e-14 2.30595739513127e-13 4.77288462249618e-15 -3.20698427005651
AAEL001693 72.1853352666536 -2.81371983413111 0.6769971669262 -4.15617667486906 3.23617606295575e-05 0.000107815332580248 9.75831465112328e-06 -2.53431493835825
AAEL001703 109391.22154481 -5.00828674334298 0.468253677400512 -10.6956698581552 1.06646244551753e-26 3.15107975548087e-25 1.97979810639856e-27 -4.921777219058
AAEL001748 240.72645296368 -1.61111153196118 0.22868714062472 -7.04504646636445 1.85399626852855e-12 1.55743514830579e-11 1.3447011875609e-13 -1.57339286989721
AAEL001767 452.577389423054 -1.53843249864948 0.282020345475833 -5.45504082712116 4.89615946490053e-08 2.50194587039887e-07 4.24691975788287e-09 -1.48065947189982
AAEL001795 315.48018026935 -1.58151108305151 0.208541489751491 -7.58367596268792 3.35899456503295e-14 3.38365553778889e-13 1.68660495906052e-15 -1.55034820203905
AAEL001807 125.533256928284 -1.30677939890098 0.302632174429017 -4.31804516940907 1.57417219444633e-05 5.49923719201224e-05 1.33680499784741e-06 -1.24081945876307
AAEL001811 145.313290903881 -1.21342894418266 0.276126217239468 -4.39447205091113 1.11042288337484e-05 3.98051590355721e-05 8.51893236336538e-07 -1.15910410415081
AAEL001831 426.689615794539 -1.25976284072002 0.187002091566814 -6.73662433486696 1.62108580994864e-11 1.24844524602303e-10 8.10090704344196e-13 -1.23453641782728
